Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,17-03-25,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast
2,Soup,22,24-03-25,791,Grocery Store,West James,Non-Vegetarian,Dinner
3,Fruits,46,28-03-25,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,16-03-25,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,19-03-25,279,Restaurant,Garciaport,Vegan,Dinner
6,Vegetables,4,24-03-25,378,Supermarket,South Johnshire,Vegan,Snacks
7,Dairy,29,25-03-25,268,Grocery Store,Nolanmouth,Vegan,Dinner
8,Rice,49,28-03-25,343,Catering Service,South Christopherborough,Vegetarian,Lunch
9,Bread,46,25-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks
10,Rice,41,20-03-25,528,Supermarket,Markport,Vegan,Dinner
11,Pasta,39,17-03-25,96,Grocery Store,Deborahland,Vegan,Breakfast
12,Pasta,15,28-03-25,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,22-03-25,115,Grocery Store,Floresville,Vegetarian,Snacks
14,Bread,19,30-03-25,621,Supermarket,Sarahland,Vegetarian,Dinner
15,Salad,3,22-03-25,74,Catering Service,Belindaville,Vegetarian,Breakfast
16,Dairy,6,26-03-25,862,Grocery Store,East Tammy,Vegan,Snacks
17,Chicken,42,22-03-25,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,27-03-25,455,Catering Service,Madisonfort,Vegan,Snacks
19,Rice,13,30-03-25,419,Supermarket,Port Peter,Vegan,Breakfast
20,Pasta,41,17-03-25,306,Catering Service,North Keith,Non-Vegetarian,Snacks
21,Rice,38,26-03-25,277,Catering Service,West Aliciabury,Vegan,Dinner
22,Chicken,46,21-03-25,892,Grocery Store,Russellfurt,Vegan,Snacks
23,Salad,43,26-03-25,1,Supermarket,New Jessica,Vegan,Dinner
24,Bread,20,30-03-25,897,Catering Service,Villastad,Non-Vegetarian,Lunch
25,Rice,48,22-03-25,898,Restaurant,Medinatown,Vegan,Breakfast
26,Vegetables,34,27-03-25,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,23-03-25,262,Supermarket,New Carol,Vegan,Breakfast
28,Chicken,5,22-03-25,606,Grocery Store,North Nathan,Vegan,Dinner
29,Bread,18,19-03-25,196,Restaurant,Bartonborough,Vegan,Lunch
30,Soup,4,16-03-25,616,Restaurant,Clarkberg,Vegetarian,Dinner
